id,make,price,weight,length
0,AMC Concord,4099,2930,186
1,AMC Pacer,4749,3350,173
2,AMC Spirit,3799,2640,168
3,Buick Century,4816,3250,196
4,Buick Electra,7827,4080,222
5,Buick LeSabre,5788,3670,218
6,Buick Opel,4453,2230,170
7,Buick Regal,5189,3280,200
8,Buick Riviera,10372,3880,207
9,Buick Skylark,4082,3400,200
10,Cad. Deville,11385,4330,221
11,Cad. Eldorado,14500,3900,204
12,Cad. Seville,15906,4290,204
13,Chev. Chevette,3299,2110,163
14,Chev. Impala,5705,3690,212
15,Chev. Malibu,4504,3180,193
16,Chev. Monte Carlo,5104,3220,200
17,Chev. Monza,3667,2750,179
18,Chev. Nova,3955,3430,197
19,Dodge Colt,3984,2120,163
20,Dodge Diplomat,4010,3600,206
21,Dodge Magnum,5886,3600,206
22,Dodge St. Regis,6342,3740,220
23,Ford Fiesta,4389,1800,147
24,Ford Mustang,4187,2650,179
25,Linc. Continental,11497,4840,233
26,Linc. Mark V,13594,4720,230
27,Linc. Versailles,13466,3830,201
28,Merc. Bobcat,3829,2580,169
29,Merc. Cougar,5379,4060,221
30,Merc. Marquis,6165,3720,212
31,Merc. Monarch,4516,3370,198
32,Merc. XR-7,6303,4130,217
33,Merc. Zephyr,3291,2830,195
34,Olds 98,8814,4060,220
35,Olds Cutl Supr,5172,3310,198
36,Olds Cutlass,4733,3300,198
37,Olds Delta 88,4890,3690,218
38,Olds Omega,4181,3370,200
39,Olds Starfire,4195,2730,180
40,Olds Toronado,10371,4030,206
41,Plym. Arrow,4647,3260,170
42,Plym. Champ,4425,1800,157
43,Plym. Horizon,4482,2200,165
44,Plym. Sapporo,6486,2520,182
45,Plym. Volare,4060,3330,201
46,Pont. Catalina,5798,3700,214
47,Pont. Firebird,4934,3470,198
48,Pont. Grand Prix,5222,3210,201
49,Pont. Le Mans,4723,3200,199
50,Pont. Phoenix,4424,3420,203
51,Pont. Sunbird,4172,2690,179
52,Audi 5000,9690,2830,189
53,Audi Fox,6295,2070,174
54,BMW 320i,9735,2650,177
55,Datsun 200,6229,2370,170
56,Datsun 210,4589,2020,165
57,Datsun 510,5079,2280,170
58,Datsun 810,8129,2750,184
59,Fiat Strada,4296,2130,161
60,Honda Accord,5799,2240,172
61,Honda Civic,4499,1760,149
62,Mazda GLC,3995,1980,154
63,Peugeot 604,12990,3420,192
64,Renault Le Car,3895,1830,142
65,Subaru,3798,2050,164
66,Toyota Celica,5899,2410,174
67,Toyota Corolla,3748,2200,165
68,Toyota Corona,5719,2670,175
69,VW Dasher,7140,2160,172
70,VW Diesel,5397,2040,155
71,VW Rabbit,4697,1930,155
72,VW Scirocco,6850,1990,156
73,Volvo 260,11995,3170,193
